"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
2906,"NCT00274950","Observation and/or Combination Chemotherapy After Surgery or Biopsy in Treating Young Patients With Extracranial Germ Cell Tumors","Unknown status","No Results Available","Childhood Germ Cell Tumor|Extragonadal Germ Cell Tumor|Ovarian Cancer","Biological: bleomycin sulfate|Drug: carboplatin|Drug: cisplatin|Drug: etoposide|Drug: ifosfamide|Drug: vinblastine sulfate|Procedure: adjuvant therapy|Procedure: conventional surgery","Children's Cancer and Leukaemia Group|National Cancer Institute (NCI)","All","up to 17 Years   (Child)","Phase 3","105","Other","Interventional","Masking: Open Label|Primary Purpose: Treatment","CDR0000454553|CCLG-GC-2005-04|EUDRACT-2004-002503-33|EU-20584","January 10, 2006","May 2005","null","September 16, 2013","June 2009","No Study Results Posted","null","May 2010","Event-free survival|Continuation of treatment|Development of common and follow-up strategies|Registration of all cases of mature and immature teratoma","https://ClinicalTrials.gov/show/NCT00274950"
2907,"NCT00025636","Combination Chemotherapy and Peripheral Stem Cell Transplant in Treating Patients With Relapsed Hodgkin's Lymphoma","Unknown status","No Results Available","Lymphoma","Biological: filgrastim|Drug: carmustine|Drug: cisplatin|Drug: cyclophosphamide|Drug: cytarabine|Drug: dexamethasone|Drug: etoposide|Drug: melphalan|Drug: methotrexate|Drug: vincristine sulfate|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation","German Hodgkin's Lymphoma Study Group|European Organisation for Research and Treatment of Cancer - EORTC|EBMT Solid Tumors Working Party|National Cancer Institute (NCI)","All","18 Years to 60 Years   (Adult)","Phase 3","220","Other","Interventional","Allocation: Randomized|Primary Purpose: Treatment","CDR0000068981|GHSG-HD-R2|EBMT-GHSG-HD-R2|EORTC-20011","October 11, 2001","July 2001","null","September 16, 2013","June 2007","No Study Results Posted","null","null","Efficacy at 3 months|Toxicity at 3 months|Complete remission at 3 months|Relapse-free survival at 3 months|Overall survival at 3 months","https://ClinicalTrials.gov/show/NCT00025636"
2908,"NCT00025064","Combination Chemotherapy With or Without Radiation Therapy and Peripheral Stem Cell Transplant in Treating Children With Hodgkin's Lymphoma","Unknown status","No Results Available","Lymphoma","Biological: bleomycin sulfate|Drug: chlorambucil|Drug: cisplatin|Drug: dacarbazine|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: ifosfamide|Drug: melphalan|Drug: prednisolone|Drug: procarbazine hydrochloride|Drug: vinblastine sulfate|Drug: vincristine sulfate|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Children's Cancer and Leukaemia Group|National Cancer Institute (NCI)","All","up to 17 Years   (Child)","Phase 2","260","Other","Interventional","Primary Purpose: Treatment","CCLG-HD-2000-02|CDR0000068901|EU-20108","October 11, 2001","January 2000","null","August 6, 2013","December 2002","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00025064"
2909,"NCT00024193","Chemotherapy and Surgery Followed by Peripheral Stem Cell Transplantation in Treating Patients With Metastatic Neuroblastoma","Unknown status","No Results Available","Neuroblastoma","Biological: filgrastim|Drug: busulfan|Drug: cisplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: melphalan|Drug: vincristine sulfate|Procedure: conventional surgery|Procedure: peripheral blood stem cell transplantation","Children's Cancer and Leukaemia Group|Societe Francaise Oncologie Pediatrique|National Cancer Institute (NCI)","All","1 Year and older   (Child, Adult, Senior)","Phase 2","null","Other","Interventional","Primary Purpose: Treatment","CCLG-NB-1999-02|CDR0000068899|SFOP-NB97|EU-20106","September 13, 2001","April 1999","null","August 6, 2013","November 2001","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00024193"
2910,"NCT00017225","Chemotherapy and Radiation Therapy With or Without Peripheral Stem Cell Transplantation in Treating Patients With Neuroblastoma","Completed","No Results Available","Neuroblastoma","Biological: filgrastim|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: dacarbazine|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: ifosfamide|Drug: melphalan|Drug: tretinoin|Drug: vincristine sulfate|Drug: vindesine|Procedure: autologous bone marrow transplantation|Procedure: conventional surgery|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Gesellschaft fur Padiatrische Onkologie und Hamatologie - Germany|National Cancer Institute (NCI)","All","up to 20 Years   (Child, Adult)","Phase 2","null","Other","Interventional","Primary Purpose: Treatment","GPOH-GERMANY-NB97|CDR0000068664|EU-20102|GER-GPOH-NB97","June 6, 2001","May 1997","February 2002","August 1, 2013","August 2002","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00017225"
2911,"NCT00007982","Chemotherapy Plus Peripheral Stem Cell Transplant in Treating Patients With Central Nervous System Cancer","Completed","No Results Available","Brain and Central Nervous System Tumors|Head and Neck Cancer|Lymphoma","Biological: filgrastim|Drug: carmustine|Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide|Drug: thiotepa|Procedure: adjuvant therapy|Procedure: autologous bone marrow transplantation|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation","Herbert Irving Comprehensive Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 2","30","Other|NIH","Interventional","Primary Purpose: Treatment","CDR0000068360|CPMC-IRB-8445|CPMC-CAMP-004A|NCI-G00-1881","January 6, 2001","April 1999","May 2008","February 1, 2013","July 2007","No Study Results Posted","null","February 2005","Response rate|Disease-free suvival|Overall survival|Toxicity|Quality of life","https://ClinicalTrials.gov/show/NCT00007982"
2912,"NCT00004903","Combination Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Multiple Myeloma","Unknown status","No Results Available","Multiple Myeloma and Plasma Cell Neoplasm","Biological: filgrastim|Biological: recombinant interferon alfa|Drug: cisplatin|Drug: cyclophosphamide|Drug: cytarabine|Drug: etoposide|Drug: melphalan|Procedure: peripheral blood stem cell transplantation","Robert H. Lurie Cancer Center|National Cancer Institute (NCI)","All","up to 65 Years   (Child, Adult)","Phase 2","null","Other|NIH","Interventional","Primary Purpose: Treatment","CDR0000067582|NU-C94H1|NU-94H1|UCCRC-7071|NCI-G00-1690","March 7, 2000","October 1999","null","January 3, 2014","June 2001","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00004903"
2913,"NCT00003413","Combination Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Stage III or Stage IV Ovarian Epithelial Cancer","Completed","No Results Available","Ovarian Cancer","Biological: filgrastim|Drug: carmustine|Drug: cisplatin|Drug: melphalan|Drug: paclitaxel|Procedure: peripheral blood stem cell transplantation|Procedure: surgical procedure","University of Maryland|University of Maryland Greenebaum Cancer Center","Female","18 Years to 70 Years   (Adult, Senior)","Phase 2","32","Other","Interventional","Primary Purpose: Treatment","CDR0000066426|MSGCC-9749|NCI-V98-1452","November 1, 1999","September 1998","February 2001","September 23, 2009","September 2009","No Study Results Posted","null","February 2001","","https://ClinicalTrials.gov/show/NCT00003413"
2914,"NCT00003273","Chemotherapy Followed by Peripheral Stem Cell Transplantation in Treating Children With Newly Diagnosed Brain Tumor","Withdrawn","No Results Available","Brain and Central Nervous System Tumors|Neuroblastoma|Retinoblastoma|Sarcoma","Biological: filgrastim|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide|Drug: leucovorin calcium|Drug: methotrexate|Drug: temozolomide|Drug: thiotepa|Drug: vincristine sulfate|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","New York University School of Medicine","All","up to 10 Years   (Child)","Phase 2","0","Other","Interventional","Primary Purpose: Treatment","CDR0000066174|NYU-P9712|NCI-V98-1400","November 1, 1999","November 1997","null","November 30, 2015","November 2015","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00003273"
2915,"NCT00002675","Chemotherapy in Treating Patients With Retinoblastoma","Completed","No Results Available","Retinoblastoma","Biological: filgrastim|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide|Drug: mesna|Drug: vincristine sulfate","Memorial Sloan Kettering Cancer Center","All","up to 17 Years   (Child)","Phase 2","50","Other","Interventional","Primary Purpose: Treatment","95-040|CDR0000064317|NCI-V95-0710","November 1, 1999","May 1995","January 2001","June 26, 2013","June 2013","No Study Results Posted","null","January 2001","","https://ClinicalTrials.gov/show/NCT00002675"
2916,"NCT00002634","Chemotherapy, Radiation Therapy, Immunotherapy, and Bone Marrow Transplantation in Treating Patients With Neuroblastoma","Completed","No Results Available","Neuroblastoma","Biological: filgrastim|Biological: monoclonal antibody 3F8|Drug: cisplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: mesna|Drug: perfosfamide|Drug: vincristine sulfate|Procedure: autologous bone marrow transplantation|Procedure: in vitro-treated bone marrow transplantation|Radiation: low-LET cobalt-60 gamma ray therapy|Radiation: low-LET photon therapy|Radiation: radioisotope therapy","Memorial Sloan Kettering Cancer Center","All","1 Year and older   (Child, Adult, Senior)","Phase 2","45","Other","Interventional","Primary Purpose: Treatment","94-011|CDR0000064084|MSKCC-FDR001041|NCI-V95-0622","November 1, 1999","February 1995","September 2004","July 1, 2013","July 2013","No Study Results Posted","null","September 2004","","https://ClinicalTrials.gov/show/NCT00002634"
2917,"NCT02477826","An Investigational Immuno-therapy Trial of Nivolumab, or Nivolumab Plus Ipilimumab, or Nivolumab Plus Platinum-doublet Chemotherapy, Compared to Platinum Doublet Chemotherapy in Patients With Stage IV Non-Small Cell Lung Cancer (NSCLC)","Recruiting","No Results Available","Non-Small Cell Lung Cancer","Drug: Nivolumab|Drug: Ipilimumab|Drug: Carboplatin|Drug: Cisplatin|Drug: Gemcitabine|Drug: Pemetrexed|Drug: Paclitaxel","Bristol-Myers Squibb|Ono Pharmaceutical Co. Ltd","All","18 Years and older   (Adult, Senior)","Phase 3","2220","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","CA209-227|2014-003630-23","June 18, 2015","August 2015","December 2020","April 18, 2017","March 2017","No Study Results Posted","CheckMate 227","January 2018","Overall survival (OS)|Progression-free Survival (PFS) as determined by blinded independent central review (BICR)|Objective response rate (ORR)|Disease related symptom improvement as measured by the Lung Cancer Symptom Score (LCSS) in all subjects","https://ClinicalTrials.gov/show/NCT02477826"
2918,"NCT01172912","High-Dose Chemotherapy and Stem Cell Transplant in Treating Patients With Metastatic Germ Cell Tumors That Have Not Responded to First-Line Therapy","Unknown status","No Results Available","Brain and Central Nervous System Tumors|Extragonadal Germ Cell Tumor|Testicular Germ Cell Tumor","Biological: filgrastim|Biological: pegfilgrastim|Drug: carboplatin|Drug: cisplatin|Drug: dexamethasone|Drug: etoposide|Drug: ifosfamide|Other: high-dose chemotherapy with autologous stem cell rescue|Other: laboratory biomarker analysis|Procedure: autologous hematopoietic stem cell transplantation|Procedure: peripheral blood stem cell transplantation","Fondazione IRCCS Istituto Nazionale dei Tumori, Milano|National Cancer Institute (NCI)","Male","18 Years and older   (Adult, Senior)","Phase 2","47","Other","Interventional","Allocation: Non-Randomized|Masking: Open Label|Primary Purpose: Treatment","ITA-MIL-INT-38-10|CDR0000682204|EUDRACT-2010-021898-36|EU-21054","July 29, 2010","October 2010","null","August 9, 2013","August 2011","No Study Results Posted","null","October 2012","Efficacy|Toxicity|Biological correlates of outcome","https://ClinicalTrials.gov/show/NCT01172912"
2919,"NCT00920153","Three Different Therapy Regimens in Treating Patients With Previously Untreated Hodgkin Lymphoma","Terminated","No Results Available","Lymphoma","Biological: bleomycin sulfate|Drug: ABVD regimen|Drug: carmustine|Drug: cisplatin|Drug: cytarabine|Drug: dacarbazine|Drug: dexamethasone|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: gemcitabine hydrochloride|Drug: ifosfamide|Drug: melphalan|Drug: methylprednisolone|Drug: mitoguazone|Drug: vincristine sulfate|Drug: vindesine|Drug: vinorelbine tartrate|Procedure: allogeneic hematopoietic stem cell transplantation|Procedure: autologous hematopoietic stem cell transplantation","French Innovative Leukemia Organisation","All","18 Years to 65 Years   (Adult)","Phase 3","442","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","LH 2007","June 12, 2009","May 2008","March 2016","September 15, 2016","July 2016","No Study Results Posted","null","March 2016","Event-free survival","https://ClinicalTrials.gov/show/NCT00920153"
2920,"NCT00238368","Fludeoxyglucose F 18 Positron Emission Tomography in Predicting Risk of Relapse in Patients With Non-Hodgkin's Lymphoma Who Are Undergoing Combination Chemotherapy With or Without Autologous Stem Cell or Bone Marrow Transplant","Completed","No Results Available","Lymphoma","Biological: filgrastim|Biological: rituximab|Drug: busulfan|Drug: cisplatin|Drug: cyclophosphamide|Drug: cytarabine|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: methylprednisolone|Drug: prednisone|Drug: vincristine sulfate|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation|Procedure: positron emission tomography|Radiation: fludeoxyglucose F 18|Radiation: radiation therapy","Sidney Kimmel Comprehensive Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 2","59","Other|NIH","Interventional","Primary Purpose: Diagnostic","J0348 CDR0000445618|P30CA006973|JHOC-J0348|JHOC-03082605","October 12, 2005","February 2004","February 2009","April 16, 2014","April 2014","No Study Results Posted","null","February 2009","2-year event free survival|Overall survival|Predictive value of early negative fludeoxyglucose F 18 positron emission tomography (FDG-PET)|Correlation of International Prognostic Index risk category with FDG-PET results and overall outcome","https://ClinicalTrials.gov/show/NCT00238368"
2921,"NCT00017368","Combination Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Children With Newly Diagnosed Neuroblastoma","Completed","No Results Available","Neuroblastoma","Biological: filgrastim|Biological: sargramostim|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: etoposide phosphate|Drug: ifosfamide|Drug: isotretinoin|Drug: melphalan|Drug: thiotepa|Drug: vincristine sulfate|Procedure: conventional surgery|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Children's Oncology Group|National Cancer Institute (NCI)","All","up to 30 Years   (Child, Adult)","Phase 2","42","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","ANBL00P1|COG-ANBL00P1|CDR0000068681","June 6, 2001","April 2001","January 2012","February 12, 2014","February 2014","No Study Results Posted","null","September 2005","Transplant-related mortality|Incidence of symptomatic CMV, disseminated adenovirus infection, or EBV-LPD|Event-free Survival","https://ClinicalTrials.gov/show/NCT00017368"
2922,"NCT00012051","Chemotherapy and Peripheral Stem Cell Transplant With or Without Monoclonal Antibody Therapy in Treating Patients With Non-Hodgkin's Lymphoma","Completed","No Results Available","Lymphoma","Biological: filgrastim|Biological: rituximab|Drug: carmustine|Drug: cisplatin|Drug: cytarabine|Drug: dexamethasone|Drug: etoposide|Drug: ifosfamide|Drug: melphalan|Drug: methotrexate|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Commissie Voor Klinisch Toegepast Onderzoek|National Cancer Institute (NCI)","All","18 Years to 65 Years   (Adult)","Phase 3","340","Other","Interventional","Allocation: Randomized|Primary Purpose: Treatment","CKTO-2000-06|CDR0000068476|HOVON-44|HOVON-44/CKVO-2000-06|EU-20042|ISRCTN95614846","March 3, 2001","September 2000","October 2007","August 9, 2013","March 2007","No Study Results Posted","null","null","Overall survival|Response rate|Event-free survival","https://ClinicalTrials.gov/show/NCT00012051"
2923,"NCT00006123","Chemotherapy and Peripheral Stem Cell Transplantation Followed by Trastuzumab in Treating Women With Metastatic Breast Cancer","Unknown status","No Results Available","Breast Cancer","Biological: trastuzumab|Drug: carboplatin|Drug: carmustine|Drug: cisplatin|Drug: cyclophosphamide|Drug: thiotepa|Procedure: peripheral blood stem cell transplantation","Beth Israel Deaconess Medical Center|National Cancer Institute (NCI)","Female","18 Years to 65 Years   (Adult)","Phase 1|Phase 2","null","Other","Interventional","Primary Purpose: Treatment","CDR0000068138|BIH-99-12|BIH-W-99-0053-FB|NCI-V00-1610","August 3, 2000","July 2000","null","February 6, 2009","December 2006","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00006123"
2924,"NCT00004906","Combination Chemotherapy and Peripheral Stem Cell Transplantation in Treating Women With Metastatic Breast Cancer","Completed","No Results Available","Breast Cancer","Biological: filgrastim|Drug: anastrozole|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: docetaxel|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: pamidronate disodium|Drug: thiotepa|Procedure: peripheral blood stem cell transplantation","Hackensack University Medical Center|National Cancer Institute (NCI)","Female","18 Years to 65 Years   (Adult)","Phase 2","null","Other|NIH","Interventional","Primary Purpose: Treatment","NU-H97B1|CDR0000067586|NCI-G00-1682","March 7, 2000","October 1999","June 2001","May 29, 2013","November 2007","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00004906"
2925,"NCT00004900","Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Women With Metastatic Breast Cancer","Completed","No Results Available","Breast Cancer","Biological: filgrastim|Drug: anastrozole|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide|Drug: thiotepa|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Hackensack University Medical Center|National Cancer Institute (NCI)","Female","18 Years to 65 Years   (Adult)","Phase 2","null","Other|NIH","Interventional","Primary Purpose: Treatment","NU-HAC98B2|CDR0000067579|NCI-G00-1689","March 7, 2000","October 1999","August 2004","May 29, 2013","October 2007","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00004900"
2926,"NCT00003386","Vaccine Therapy in Treating Patients With Stage III or Stage IV Ovarian Epithelial Cancer","Terminated","No Results Available","Ovarian Cancer","Biological: BCG vaccine|Biological: autologous tumor cell vaccine|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: paclitaxel|Other: dinitrophenyl|Procedure: surgical procedure","Gynecologic Oncology Group|National Cancer Institute (NCI)","Female","18 Years and older   (Adult, Senior)","Phase 2","null","Other|NIH","Interventional","Primary Purpose: Treatment","CDR0000066382|GOG-9802","November 1, 1999","July 1999","null","April 10, 2013","December 2008","No Study Results Posted","null","April 2001","","https://ClinicalTrials.gov/show/NCT00003386"
2927,"NCT00003086","Repeated Bone Marrow Transplantation in Treating Women With Advanced Breast Cancer","Unknown status","No Results Available","Breast Cancer","Biological: filgrastim|Drug: CAF regimen|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: fluorouracil|Drug: ifosfamide|Drug: melphalan|Drug: paclitaxel|Drug: thiotepa|Procedure: peripheral blood stem cell transplantation|Radiation: samarium Sm 153 lexidronam pentasodium","Feist-Weiller Cancer Center at Louisiana State University Health Sciences|National Cancer Institute (NCI)","Female","21 Years to 65 Years   (Adult)","Phase 1|Phase 2","12","Other","Interventional","Primary Purpose: Treatment","CDR0000065786|LSU-97447|NCI-V97-1341","November 1, 1999","March 1997","null","February 6, 2009","December 2006","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00003086"
2928,"NCT00002772","S9623, Combination Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Women With Breast Cancer","Terminated","No Results Available","Breast Cancer","Biological: filgrastim|Drug: carboplatin|Drug: carmustine|Drug: cisplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: paclitaxel|Drug: tamoxifen citrate|Drug: thiotepa|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Southwest Oncology Group|National Cancer Institute (NCI)|Eastern Cooperative Oncology Group|Cancer and Leukemia Group B","Female","18 Years and older   (Adult, Senior)","Phase 3","602","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000064747|S9623|U10CA032102","November 1, 1999","July 1996","February 2004","January 22, 2013","January 2013","No Study Results Posted","null","February 2004","","https://ClinicalTrials.gov/show/NCT00002772"
2929,"NCT00002596","Combination Chemotherapy With or Without Bone Marrow or Stem Cell Transplantation in Treating Men With Untreated Germ Cell Tumors","Completed","No Results Available","Childhood Germ Cell Tumor|Extragonadal Germ Cell Tumor|Testicular Germ Cell Tumor","Biological: bleomycin sulfate|Biological: filgrastim|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide|Procedure: autologous bone marrow transplantation|Procedure: bone marrow ablation with stem cell support|Procedure: conventional surgery|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Memorial Sloan Kettering Cancer Center|National Cancer Institute (NCI)|Eastern Cooperative Oncology Group|Southwest Oncology Group|Cancer and Leukemia Group B","Male","12 Years and older   (Child, Adult, Senior)","Phase 3","270","Other|NIH","Interventional","Allocation: Randomized|Primary Purpose: Treatment","SWOG-9442|MSKCC-94076|CLB-99812|E-3894|CDR0000063820|NCI-T94-0086D","November 1, 1999","September 1994","July 2006","June 25, 2013","October 2003","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00002596"
2930,"NCT00165139","Intensive Chemo-Radiotherapy With Peripheral Blood Progenitor Cell Rescue for Children With Advanced Neuroblastoma and Sarcomas","Completed","No Results Available","Neuroblastoma|Ewings Sarcoma|Non-rhabdomyosarcoma Soft Tissue Sarcoma","Drug: Vincristine|Drug: Cyclophosphamide|Drug: Adriamycin|Drug: Etoposide (VP-16)|Drug: Cisplatin|Drug: Carboplatin|Drug: Melphalan|Drug: Ifosfamide|Drug: G-CSF (granulocyte-colony stimulating factor)|Drug: Mesna","Dana-Farber Cancer Institute|Boston Children’s Hospital|Children's Hospital of Philadelphia","All","up to 19 Years   (Child, Adult)","Phase 2","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","94-131","September 9, 2005","January 1996","February 2009","October 30, 2009","October 2009","No Study Results Posted","null","November 2000","To determine the toxicity and feasibility of double dose chemo-radiotherapy with blood progenitor cell rescue in this patient population.","https://ClinicalTrials.gov/show/NCT00165139"
2931,"NCT00040872","Multiple Therapies in Treating Patients With Advanced Neuroblastoma","Completed","No Results Available","Neuroblastoma","Biological: filgrastim|Biological: monoclonal antibody 3F8|Biological: sargramostim|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: isotretinoin|Drug: thiotepa|Drug: topotecan hydrochloride|Drug: vincristine sulfate|Procedure: autologous bone marrow transplantation|Procedure: bone marrow ablation with stem cell support|Procedure: conventional surgery|Procedure: drug resistance inhibition treatment|Procedure: peripheral blood stem cell transplantation|Procedure: syngeneic bone marrow transplantation|Radiation: radiation therapy","Memorial Sloan Kettering Cancer Center|National Cancer Institute (NCI)","All","up to 50 Years   (Child, Adult)","Phase 2","null","Other|NIH","Interventional","Masking: Open Label|Primary Purpose: Treatment","00-065|P30CA008748|MSKCC-00065|NCI-G02-2083","July 8, 2002","June 2000","January 2007","March 6, 2013","March 2013","No Study Results Posted","null","January 2007","","https://ClinicalTrials.gov/show/NCT00040872"
2932,"NCT00003397","Peripheral Stem Cell Transplantation Plus Combination Chemotherapy and Monoclonal Antibody Therapy in Treating Patients With Non-Hodgkin's Lymphoma","Completed","No Results Available","Lymphoma","Biological: filgrastim|Biological: rituximab|Biological: sargramostim|Drug: carmustine|Drug: cisplatin|Drug: cyclophosphamide|Drug: dexamethasone|Drug: etoposide|Drug: gemcitabine hydrochloride|Drug: melphalan|Drug: paclitaxel|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation","University of Maryland|University of Maryland Greenebaum Cancer Center","All","18 Years to 75 Years   (Adult, Senior)","Phase 2","25","Other","Interventional","Primary Purpose: Treatment","CDR0000066399|MSGCC-9740|NCI-V98-1432","November 1, 1999","September 1998","December 2002","September 23, 2009","September 2009","No Study Results Posted","null","December 2002","","https://ClinicalTrials.gov/show/NCT00003397"
2933,"NCT02551159","Phase III Open Label Study of MEDI 4736 With/Without Tremelimumab Versus Standard of Care (SOC) in Recurrent/Metastatic Head and Neck Cancer","Active, not recruiting","No Results Available","Squamous Cell Carcinoma of the Head and Neck","Biological: MEDI4736|Biological: Tremelimumab|Biological: MEDI4736+Tremelimumab|Biological: Cetuximab|Drug: 5-fluorouracil (5FU)|Drug: Cisplatin|Drug: Carboplatin","AstraZeneca","All","18 Years and older   (Adult, Senior)","Phase 3","823","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","D419LC00001","September 9, 2015","October 15, 2015","October 2, 2018","May 8, 2017","April 2017","No Study Results Posted","KESTREL","March 1, 2018","The efficacy of MEDI4736 + tremelimumab combination therapy compared to SoC in terms of progression-free survival (PFS).|The efficacy of MEDI4736 + tremelimumab combination therapy compared to SoC in terms of Overall survival (OS).|The efficacy of MEDI4736 + tremelimumab combination therapy compared to SoC in terms of Objective Response Rate (ORR).|The efficacy of MEDI4736 + tremelimumab combination therapy compared to SoC in terms of Second Progression (PFS2).|The efficacy of MEDI4736 + tremelimumab combination therapy compared to SoC in terms of Duration of Response (DoR).|The efficacy of MEDI4736 + tremelimumab combination therapy compared to SoC in terms of alive and progression free at 12 months (APF12).|The efficacy of MEDI4736 + tremelimumab combination therapy compared to SoC in terms of overall survival at 24 months (OS24).|The efficacy of MEDI4736 monotherapy compared to SoC in terms of progression-free survival (PFS).|The efficacy of MEDI4736 monotherapy compared to SoC in terms of Overall survival (OS).|The efficacy of MEDI4736 monotherapy compared to SoC in terms of Objective Response Rate (ORR).|The efficacy of MEDI4736 monotherapy compared to SoC in terms of Second Progression (PFS2).|The efficacy of MEDI4736 monotherapy compared to SoC in terms of overall survival at 24 months (OS24).|the efficacy of MEDI4736 + tremelimumab combination therapy compared to MEDI4736 monotherapy in terms of Progression Free Survival (PFS).|the efficacy of MEDI4736 + tremelimumab combination therapy compared to MEDI4736 monotherapy in terms of Objective Response Rate (ORR).|the efficacy of MEDI4736 + tremelimumab combination therapy compared to MEDI4736 monotherapy in terms of Overall Survival (OS)|The pharmacokinetics (PK) analysis of MEDI4736 and Tremelimumab using Area Under the Curve (AUC)|The immunogenicity of MEDI4736 and tremelimumab|Health related quality of life (HRQoL) in patients treated with MEDI4736 + tremelimumab or MEDI4736 compared to SoC using the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire - Core 30 items (EORTC QLQ-C30)|HRQoL in patients treated with MEDI4736 + tremelimumab or MEDI4736 compared to SoC using the EORTC- 35-item Head and Neck Quality of Life Questionnaire (QLQ H&N35) module|The pharmacokinetics (PK) analysis of MEDI4736 and Tremelimumab using Maximum Plasma Concentration (Cmax)","https://ClinicalTrials.gov/show/NCT02551159"
